parent_schema;parent_table;parent_column;foreign_key_name;referenced_schema;referenced_table;referenced_column;delete_action;update_action
dbo;ABCANALYZA;IDABCKRITERIUM;ABCANALYZA_ABCKRITERIUM;dbo;ABCKRITERIUM;IDABCKRITERIUM;NO_ACTION;NO_ACTION
dbo;ADRLATKA;IDMJ;ADRLATKA_MJ;dbo;MJ;IDMJ;NO_ACTION;NO_ACTION
dbo;AKTIVITA;IDAKTIVITA_KOMUNIKACE;AKTIVITA_AKTIVITA_KOMUNIKACE;dbo;AKTIVITA_KOMUNIKACE;IDAKTIVITA_KOMUNIKACE;NO_ACTION;NO_ACTION
dbo;AKTIVITA;IDAKTIVITA_STAV;AKTIVITA_AKTIVITA_STAV;dbo;AKTIVITA_STAV;IDAKTIVITA_STAV;NO_ACTION;NO_ACTION
dbo;AKTIVITA;IDAKTIVITA_TYP;AKTIVITA_AKTIVITA_TYP;dbo;AKTIVITA_TYP;IDAKTIVITA_TYP;NO_ACTION;NO_ACTION
dbo;AKTIVITA;IDSUBJADR;AKTIVITA_SUBJADR;dbo;SUBJADR;IDSUBJADR;NO_ACTION;NO_ACTION
dbo;AKTIVITA;IDSUBJEKT;AKTIVITA_SUBJEKT;dbo;SUBJEKT;IDSUBJEKT;NO_ACTION;NO_ACTION
dbo;AKTIVITA;IDSUBJOSOBA;AKTIVITA_SUBJOSOBA;dbo;SUBJOSOBA;IDSUBJOSOBA;NO_ACTION;NO_ACTION
dbo;AKTIVITA;IDUZIVATEL;AKTIVITA_UZIVATEL;dbo;UZIVATEL;IDUZIVATEL;NO_ACTION;NO_ACTION
dbo;AKTIVITA;IDUZIVATEL_INSERT;AKTIVITA_UZIVATEL_INSERT;dbo;UZIVATEL;IDUZIVATEL;NO_ACTION;NO_ACTION
dbo;AKTIVITA;IDUZIVATEL_UPDATE;AKTIVITA_UZIVATEL_UPDATE;dbo;UZIVATEL;IDUZIVATEL;NO_ACTION;NO_ACTION
dbo;AKTIVITA_TYP;IDAKTIVITA_KOMUNIKACE;AKTIVITA_TYP_AKTIVITA_KOMUNIKACE;dbo;AKTIVITA_KOMUNIKACE;IDAKTIVITA_KOMUNIKACE;NO_ACTION;NO_ACTION
dbo;AKTIVITA_TYPSTAV;IDAKTIVITA_STAV;AKTIVITA_TYPSTAV_AKTIVITA_STAV;dbo;AKTIVITA_STAV;IDAKTIVITA_STAV;NO_ACTION;NO_ACTION
dbo;AKTIVITA_TYPSTAV;IDAKTIVITA_TYP;AKTIVITA_TYPSTAV_AKTIVITA_TYP;dbo;AKTIVITA_TYP;IDAKTIVITA_TYP;NO_ACTION;NO_ACTION
dbo;AKTIVITA_VAZBA;IDAKTIVITA;AKTIVITA_VAZBA_AKTIVITA;dbo;AKTIVITA;IDAKTIVITA;NO_ACTION;NO_ACTION
dbo;AKTIVITAADD;IDAKTIVITA;AKTIVITAADD_AKTIVITA;dbo;AKTIVITA;IDAKTIVITA;NO_ACTION;NO_ACTION
dbo;ARCHSUMUCETZAP;IDSTRED;ARCHSUMUCETZAP_STRED;dbo;STRED;IDSTRED;NO_ACTION;NO_ACTION
dbo;ARCHSUMUCETZAP;IDUCTOBD;ARCHSUMUCETZAP_UCTOBD;dbo;UCTOBD;IDUCTOBD;NO_ACTION;NO_ACTION
dbo;ARCHSUMUCETZAP;IDUCTOSN;ARCHSUMUCETZAP_UCTOSN;dbo;UCTOSN;IDUCTOSN;NO_ACTION;NO_ACTION
dbo;AVIZOPP;IDHDOK;AVIZOPP_HDOK;dbo;HDOK;IDHDOK;SET_NULL;NO_ACTION
dbo;AVIZOPP;IDMENA;AVIZOPP_MENA;dbo;MENA;IDMENA;NO_ACTION;NO_ACTION
dbo;AVIZOPP;IDPENUCET;AVIZOPP_PENUCET;dbo;PENUCET;IDPENUCET;NO_ACTION;NO_ACTION
dbo;BANKA;IDDFNBANKA_EXP;BANKA_DFNBANKA;dbo;DFNBANKA;IDDFNBANKA;NO_ACTION;NO_ACTION
dbo;BANKA;IDDFNBANKA_INKASO;BANKA_INKASODFNBANKA;dbo;DFNBANKA;IDDFNBANKA;NO_ACTION;NO_ACTION
dbo;BANKA;IDSTAT;BANKA_STAT;dbo;STAT;IDSTAT;NO_ACTION;NO_ACTION
dbo;BANKA;IDDFNBANKA_EXPZAHR;BANKA_ZAHRDFNBANKA;dbo;DFNBANKA;IDDFNBANKA;NO_ACTION;NO_ACTION
dbo;BAV;IDPENUCET;BAV_PENU;dbo;PENUCET;IDPENUCET;NO_ACTION;NO_ACTION
dbo;BAV;IDTYPDOK;BAV_TYPDOK;dbo;TYPDOK;IDTYPDOK;NO_ACTION;NO_ACTION
dbo;BAV;IDUZIVATEL;BAV_UZIVATEL;dbo;UZIVATEL;IDUZIVATEL;NO_ACTION;NO_ACTION
dbo;BAVA;IDPENUCET;BAVA_PENU;dbo;PENUCET;IDPENUCET;NO_ACTION;NO_ACTION
dbo;BAVA;IDTYPDOK;BAVA_TYPDOK;dbo;TYPDOK;IDTYPDOK;NO_ACTION;NO_ACTION
dbo;BAVA;IDUZIVATEL;BAVA_UZIVATEL;dbo;UZIVATEL;IDUZIVATEL;NO_ACTION;NO_ACTION
dbo;BAVRADEK;IDBAVHLAV;BAVRADEK_BAVHLAV;dbo;BAVHLAV;IDBAVHLAV;NO_ACTION;NO_ACTION
dbo;BB_CISELNIK;IDBB_DOPRAVCE_ATRIBUT;BB_CISELNIK_BB_DOPRAVCE_ATRIBUT;dbo;BB_DOPRAVCE_ATRIBUT;IDBB_DOPRAVCE_ATRIBUT;NO_ACTION;NO_ACTION
dbo;BB_CISELNIK;IDBB_SLUZBA;BB_CISELNIK_BB_SLUZBA;dbo;BB_SLUZBA;IDBB_SLUZBA;NO_ACTION;NO_ACTION
dbo;BB_DOPRAVCE;IDPODMINKY_PREP;BB_DOPRAVCE_PODMINKY_PREP;dbo;PODMINKY;IDPODMINKY;NO_ACTION;NO_ACTION
dbo;BB_DOPRAVCE_ATRIBUT;IDBB_ATRIBUT;BB_DOPRAVCE_ATRIBUT_BB_ATRIBUT;dbo;BB_ATRIBUT;IDBB_ATRIBUT;NO_ACTION;NO_ACTION
dbo;BB_DOPRAVCE_ATRIBUT;IDBB_DOPRAVCE;BB_DOPRAVCE_ATRIBUT_BB_DOPRAVCE;dbo;BB_DOPRAVCE;IDBB_DOPRAVCE;NO_ACTION;NO_ACTION
dbo;BB_SLUZBA;IDBB_DOPRAVCE;BB_SLUZBA_BB_DOPRAVCE;dbo;BB_DOPRAVCE;IDBB_DOPRAVCE;CASCADE;NO_ACTION
dbo;BB_SLUZBA;IDPODMINKY_DOD;BB_SLUZBA_PODMINKY_DOD;dbo;PODMINKY;IDPODMINKY;NO_ACTION;NO_ACTION
dbo;BILANCE;IDSDOK;BILANCE_SDOK;dbo;SDOK;IDSDOK;NO_ACTION;NO_ACTION
dbo;BILANCE;IDVYROBA;BILANCE_VYROBA;dbo;VYROBA;IDVYROBA;NO_ACTION;NO_ACTION
dbo;BILANCE;IDZBOZIPRAC;BILANCE_ZBOZIPRAC;dbo;ZBOZI;IDZBOZI;NO_ACTION;NO_ACTION
dbo;BILANCE;IDZDROJ;BILANCE_ZDROJ;dbo;ZDROJ;IDZDROJ;NO_ACTION;NO_ACTION
dbo;BRPARAMETER;IDBUSINESSROLE;BRPARAMETER_BUSINESSROLE;dbo;BUSINESSROLE;IDBUSINESSROLE;NO_ACTION;NO_ACTION
dbo;BUSINESSROLE;IDDESCRCOL;BUSINESSROLE_DESCRCOL;dbo;DESCRCOL;IDDESCRCOL;NO_ACTION;NO_ACTION
dbo;BUSINESSROLE;IDDESCRTAB;BUSINESSROLE_DESCRTAB;dbo;DESCRTAB;IDDESCRTAB;NO_ACTION;NO_ACTION
dbo;CELSAZ;IDMJ;CELSAZ_KODMJ;dbo;MJ;IDMJ;NO_ACTION;NO_ACTION
dbo;CELSAZ;IDPRENESENADAN;CELSAZ_PRENESENADAN;dbo;PRENESENADAN;IDPRENESENADAN;NO_ACTION;NO_ACTION
dbo;CENSKUPADD;IDCENSKUP;CENSKUPADD_CENSKUP;dbo;CENSKUP;IDCENSKUP;NO_ACTION;NO_ACTION
dbo;CERTIFIKAT;IDDOKUMENT;CERTIFIKAT_DOKUMENT;dbo;DOKUMENT;IDDOKUMENT;NO_ACTION;NO_ACTION
dbo;CERTIFIKAT;IDUZIVATEL;CERTIFIKAT_UZIVATEL;dbo;UZIVATEL;IDUZIVATEL;NO_ACTION;NO_ACTION
dbo;CESKZBPA;IDCENSKZB;CESKZBPA_CENSKZB;dbo;CENSKZB;IDCENSKZB;NO_ACTION;NO_ACTION
dbo;CESKZBPA;IDMENA;CESKZBPA_MENA;dbo;MENA;IDMENA;NO_ACTION;NO_ACTION
dbo;CESKZBPA;IDMJ;CESKZBPA_MJ;dbo;MJ;IDMJ;NO_ACTION;NO_ACTION
dbo;CESKZBPA;IDSUBJADR;CESKZBPA_SUBJADR;dbo;SUBJADR;IDSUBJADR;NO_ACTION;NO_ACTION
dbo;CESKZBPA;IDSUBJEKT;CESKZBPA_SUBJEKT;dbo;SUBJEKT;IDSUBJEKT;NO_ACTION;NO_ACTION
dbo;CESKZBPA;IDZBOZI;CESKZBPA_ZBOZI;dbo;ZBOZI;IDZBOZI;NO_ACTION;NO_ACTION
dbo;CESKZBPA;IDCENSKUP;CSPACSZB;dbo;CENSKUP;IDCENSKUP;NO_ACTION;NO_ACTION
dbo;CESKZBPAADD;IDCESKZBPA;CESKZBPAADD_CESKZBPA;dbo;CESKZBPA;IDCESKZBPA;NO_ACTION;NO_ACTION
dbo;CINDATA;IDCINNOST;CINDATA_CINNOST;dbo;CINNOST;IDCINNOST;NO_ACTION;NO_ACTION
dbo;CINDATA;IDDATAPOUZ;CINDATA_DATAPOUZ;dbo;DATAPOUZ;IDDATAPOUZ;NO_ACTION;NO_ACTION
dbo;CINNOSTFAV;IDUZIVATEL;CINNOSTFAV_UZIVATEL;dbo;UZIVATEL;IDUZIVATEL;NO_ACTION;NO_ACTION
dbo;CINPRILOHA;IDCINNOST;CINPRILOHA_CINNOST;dbo;CINNOST;IDCINNOST;NO_ACTION;NO_ACTION
dbo;CINPROSKUP;IDCINNOST;CINPROSKUP_CINNOST;dbo;CINNOST;IDCINNOST;NO_ACTION;NO_ACTION
dbo;CINPROSKUP;IDSKUPUZIV;CINPROSKUP_SKUPUZIV;dbo;SKUPUZIV;IDSKUPUZIV;NO_ACTION;NO_ACTION
dbo;CTECKAMAJADD;IDCTECKAMAJ;CTECKAMAJADD_CTECKAMAJ;dbo;CTECKAMAJ;IDCTECKAMAJ;NO_ACTION;NO_ACTION
dbo;CTECKAMAJIMPORTDET;IDCTECKAMAJIMPORTHLAV;CTECKAMAJIMPORTDET_CTECKAMAJIMPORTHLAV;dbo;CTECKAMAJIMPORTHLAV;IDCTECKAMAJIMPORTHLAV;NO_ACTION;NO_ACTION
dbo;CTECKAMAJIMPORTDETVAZBA;IDCTECKAMAJIMPORTDET;CTECKAMAJIMPORTDETVAZBA_CTECKAMAJIMPORTDET;dbo;CTECKAMAJIMPORTDET;IDCTECKAMAJIMPORTDET;NO_ACTION;NO_ACTION
dbo;CVDET;IDCVHLAV;CVDET_CVHLAV;dbo;CVHLAV;IDCVHLAV;NO_ACTION;NO_ACTION
dbo;CVDET;IDCVPODHKOD_STR;CVPODH_CVDETKOD_STR;dbo;CVPODH;IDCVPODH;NO_ACTION;NO_ACTION
dbo;CVDET;IDCVPODHKOD_UCTU;CVPODH_CVDETKOD_UCTU;dbo;CVPODH;IDCVPODH;NO_ACTION;NO_ACTION
dbo;CVDET;IDCVPODHUZDU;CVPODH_CVDETUZDU;dbo;CVPODH;IDCVPODH;NO_ACTION;NO_ACTION
dbo;CVDET;IDCVPODHZAK_UZAP;CVPODH_CVDETZAK_UZAP;dbo;CVPODH;IDCVPODH;NO_ACTION;NO_ACTION
dbo;CVHODN;IDCVDET_R;CVHODN_CVDET_R;dbo;CVDET;IDCVDET;NO_ACTION;NO_ACTION
dbo;CVHODN;IDCVDET_S;CVHODN_CVDET_S;dbo;CVDET;IDCVDET;NO_ACTION;NO_ACTION
dbo;CVHODN;IDCVSQL;CVHODN_CVSQL;dbo;CVSQL;IDCVSQL;NO_ACTION;NO_ACTION
dbo;CVHODN;IDCVZPRA;CVHODN_CVZPRA;dbo;CVZPRA;IDCVZPRA;NO_ACTION;NO_ACTION
dbo;CVPODP;IDCVPODH;CVPODP_CVPODH;dbo;CVPODH;IDCVPODH;NO_ACTION;NO_ACTION
dbo;CVSEST;IDCVHLAV_R;CVSEST_CVHLAV_R;dbo;CVHLAV;IDCVHLAV;NO_ACTION;NO_ACTION
dbo;CVSEST;IDCVHLAV_S;CVSEST_CVHLAV_S;dbo;CVHLAV;IDCVHLAV;NO_ACTION;NO_ACTION
dbo;CVSEST;IDCVPODHKOD_STR;CVSEST_CVPODHKOD_STR;dbo;CVPODH;IDCVPODH;NO_ACTION;NO_ACTION
dbo;CVSEST;IDCVPODHKOD_UCTU;CVSEST_CVPODHKOD_UCTU;dbo;CVPODH;IDCVPODH;NO_ACTION;NO_ACTION
dbo;CVSEST;IDCVPODHUZDU;CVSEST_CVPODHUZDU;dbo;CVPODH;IDCVPODH;NO_ACTION;NO_ACTION
dbo;CVSEST;IDCVPODHZAK_UZAP;CVSEST_CVPODHZAK_UZAP;dbo;CVPODH;IDCVPODH;NO_ACTION;NO_ACTION
dbo;CVZPRA;IDCVSEST;CVZPRA_CVSEST;dbo;CVSEST;IDCVSEST;NO_ACTION;NO_ACTION
dbo;CVZPRA;IDUCTOBD;CVZPRA_UCTOBD;dbo;UCTOBD;IDUCTOBD;NO_ACTION;NO_ACTION
dbo;CVZPRA;IDUCTOBD_OD;CVZPRA_UCTOBD_OD;dbo;UCTOBD;IDUCTOBD;NO_ACTION;NO_ACTION
dbo;CVZPRA;IDUCTOBD_PLAN;CVZPRA_UCTOBD_PLAN;dbo;UCTOBD;IDUCTOBD;NO_ACTION;NO_ACTION
dbo;CVZPRA;IDUZIVATEL;CVZPRA_UZIVATEL;dbo;UZIVATEL;IDUZIVATEL;NO_ACTION;NO_ACTION
dbo;DANE;IDHDOK;DANE_HDOK;dbo;HDOK;IDHDOK;NO_ACTION;NO_ACTION
dbo;DANE;IDSDOK;DANE_SDOK;dbo;SDOK;IDSDOK;NO_ACTION;NO_ACTION
dbo;DASHBOARD;IDDASHBOARDTYP;DASHBOARD_DASHBOARDTYP;dbo;DASHBOARDTYP;IDDASHBOARDTYP;NO_ACTION;NO_ACTION
