schema_name;table_name;index_name;index_type;is_unique;is_primary_key;index_columns;included_columns
dbo;ABCANALYZA;ABCANALYZA_Key1;NONCLUSTERED;YES;NO;TABLENAME_ABCANALYZA, IDTABLE_ABCANALYZA, IDABCKRITERIUM;NULL
dbo;ABCANALYZA;ABCANALYZA_PK;CLUSTERED;YES;YES;IDABCANALYZA;NULL
dbo;ABCKOREKCEHODNOTY;ABCHODNOTA_Key1;NONCLUSTERED;YES;NO;KOD_ABCKOREKCEHODNOTY, TABLENAME_ABCKOREKCEHODNOTY;NULL
dbo;ABCKOREKCEHODNOTY;ABCHODNOTA_PK;CLUSTERED;YES;YES;IDABCKOREKCEHODNOTY;NULL
dbo;ABCKRITERIUM;ABCKRITERIUM_Key1;NONCLUSTERED;YES;NO;KOD_ABCKRITERIUM, TABLENAME_ABCKRITERIUM;NULL
dbo;ABCKRITERIUM;ABCKRITERIUM_PK;CLUSTERED;YES;YES;IDABCKRITERIUM;NULL
dbo;ADRLATKA;ADRLATKA_Key1;NONCLUSTERED;YES;NO;KOD_ADR;NULL
dbo;ADRLATKA;ADRLATKA_Key2;NONCLUSTERED;NO;NO;KOD_UN;NULL
dbo;ADRLATKA;ADRLATKA_PK;CLUSTERED;YES;YES;IDADRLATKA;NULL
dbo;AgentIndexRebuilds;NULL;HEAP;NO;NO;NULL;NULL
dbo;AgentIndexRebuilds;PK_AgentIndexRebuilds;NONCLUSTERED;YES;YES;idAgentIndexRebuilds;NULL
dbo;AKTIVITA;AKTIVITA_PK;CLUSTERED;YES;YES;IDAKTIVITA;NULL
dbo;AKTIVITA_KOMUNIKACE;AKTIVITA_KOMUNIKACE_Key1;NONCLUSTERED;YES;NO;KOD_AKOMUNIKACE;NULL
dbo;AKTIVITA_KOMUNIKACE;AKTIVITA_KOMUNIKACE_PK;CLUSTERED;YES;YES;IDAKTIVITA_KOMUNIKACE;NULL
dbo;AKTIVITA_STAV;AKTIVITA_STAV_Key1;NONCLUSTERED;YES;NO;KOD_ASTAV;NULL
dbo;AKTIVITA_STAV;AKTIVITA_STAV_PK;CLUSTERED;YES;YES;IDAKTIVITA_STAV;NULL
dbo;AKTIVITA_TYP;AKTIVITA_TYP_Key1;NONCLUSTERED;YES;NO;KOD_ATYP;NULL
dbo;AKTIVITA_TYP;AKTIVITA_TYP_PK;CLUSTERED;YES;YES;IDAKTIVITA_TYP;NULL
dbo;AKTIVITA_TYPSTAV;AKTIVITA_TYPSTAV_Key1;NONCLUSTERED;YES;NO;IDAKTIVITA_TYP, PORADI_STAV;NULL
