schema_name;table_name;column_name;column_id;data_type;is_nullable;is_identity;is_computed;default_value;description;is_primary_key
dbo;ABCANALYZA;IDABCANALYZA;1;int;NO;YES;NO;;;YES
dbo;ABCANALYZA;TABLENAME_ABCANALYZA;2;varchar(128);NO;NO;NO;;;NO
dbo;ABCANALYZA;IDTABLE_ABCANALYZA;3;int;NO;NO;NO;;;NO
dbo;ABCANALYZA;IDABCKRITERIUM;4;int;NO;NO;NO;;;NO
dbo;ABCANALYZA;HODNOTA;5;decimal(19,5);YES;NO;NO;;;NO
dbo;ABCANALYZA;VLABC;6;smallint;YES;NO;NO;;;NO
dbo;ABCKOREKCEHODNOTY;IDABCKOREKCEHODNOTY;1;int;NO;YES;NO;;;YES
dbo;ABCKOREKCEHODNOTY;KOD_ABCKOREKCEHODNOTY;2;varchar(30);NO;NO;NO;;;NO
dbo;ABCKOREKCEHODNOTY;NAZEV_ABCKOREKCEHODNOTY;3;varchar(60);YES;NO;NO;;;NO
dbo;ABCKOREKCEHODNOTY;POPIS_ABCKOREKCEHODNOTY;4;varchar(MAX);YES;NO;NO;;;NO
dbo;ABCKOREKCEHODNOTY;TABLENAME_ABCKOREKCEHODNOTY;5;varchar(128);NO;NO;NO;;;NO
dbo;ABCKOREKCEHODNOTY;SQLOBJEKT_ABCKOREKCEHODNOTY;6;varchar(60);YES;NO;NO;;;NO
dbo;ABCKOREKCEHODNOTY;SQLOBJPARAM_ABCKOREKCEHODNOTY;7;varchar(255);YES;NO;NO;;;NO
dbo;ABCKOREKCEHODNOTY;SQLKOREKCE_ABCKOREKCEHODNOTY;8;varchar(MAX);YES;NO;NO;;;NO
dbo;ABCKRITERIUM;IDABCKRITERIUM;1;int;NO;YES;NO;;;YES
dbo;ABCKRITERIUM;KOD_ABCKRITERIUM;2;varchar(30);NO;NO;NO;;;NO
dbo;ABCKRITERIUM;NAZEV_ABCKRITERIUM;3;varchar(60);YES;NO;NO;;;NO
dbo;ABCKRITERIUM;POPIS_ABCKRITERIUM;4;varchar(MAX);YES;NO;NO;;;NO
dbo;ABCKRITERIUM;TABLENAME_ABCKRITERIUM;5;varchar(128);NO;NO;NO;;;NO
dbo;ABCKRITERIUM;SQLOBJEKT_ABCKRITERIUM;6;varchar(60);YES;NO;NO;;;NO
dbo;ABCKRITERIUM;SQLOBJEKTPARAM_ABCKRITERIUM;7;varchar(255);YES;NO;NO;;;NO
dbo;ABCKRITERIUM;SQLROZDEL_ABCKRITERIUM;8;varchar(MAX);YES;NO;NO;;;NO
dbo;ADRLATKA;IDADRLATKA;1;int;NO;YES;NO;;;YES
dbo;ADRLATKA;KOD_ADR;2;varchar(10);NO;NO;NO;;;NO
dbo;ADRLATKA;NAZEV_ADR;3;varchar(200);YES;NO;NO;;;NO
dbo;ADRLATKA;KOD_UN;4;varchar(4);NO;NO;NO;;;NO
