schema_name;table_name;row_count
dbo;XXPLNPOLDISTR;25554017
dbo;XXABCPRODEJE;17304935
dbo;SDOK;7108388
dbo;UCETZAP;6363249
dbo;XXPOLJEDKALCEN;5923493
dbo;XXPLANPRODEJU;5889833
dbo;XXPLANMATTOKU;5838344
dbo;XXABCNAKLADY;5492953
dbo;HISSDOK;3847569
dbo;KALKCEN;3468936
dbo;SDOKADD;2164406
dbo;CESKZBPA;1245180
dbo;CESKZBPAADD;1195495
dbo;XXPLNMCHD;933465
dbo;XXHODPARZBOZI;915829
dbo;XXEFEKTIVITAZBOZ;859270
dbo;XXCAMUNDA_EVENT;780768
dbo;XXPOSLDODAVKA;763241
dbo;XXOBCHPODZBOZ;711409
dbo;XXTENZOMETR;709504
dbo;XXHODREZZAK;683274
dbo;HISHDOK;656986
dbo;HDOK;651482
dbo;XXOBCHPODZBOZSUBJ;592658
dbo;XXPOSLDODAVKA_RV;561515
dbo;HDOKADD;451841
dbo;DOKUMENT;374547
dbo;XXNOZPRIPRAVA;364053
dbo;XXB2BBPC;362378
dbo;XXAPL;351306
dbo;XXHODNANALZAK;348314
dbo;XXMCHD_P;286178
dbo;XXPODILDF_P;286178
dbo;ZBOZSKLSARZE;255818
dbo;XXKPITDM;246940
dbo;HISSTIOFFLINE;229515
dbo;ZBOZSKLSARZESTAVKDATU;219421
dbo;XXCASTROL_MASTER_DATA;202504
dbo;HDOKPOZN;200713
dbo;XXLISTPROTDM;178037
dbo;XXEKOLPOPLZBOZI;156032
dbo;XXPRODAKCEZBOZI;151090
dbo;XXVRACENISUROVINY;141961
dbo;XXSTREDABCDRIVER;140196
dbo;XXUKOL;138913
dbo;XXUDALOST;134809
dbo;XXB2BBPP;134624
dbo;SLOVNIK;132367
dbo;SDOKPOZN;128754
dbo;XXVARKUSDET;128066
dbo;SDOKPOZNADD;126851
dbo;XXPRODAKCESUBJADR;124955
dbo;XXSKENDOK;119813
dbo;DOKUMENT_VAZBA;118952
dbo;XXNAVSTEVAOZ;115403
dbo;XXSUBJADRUZIV;114222
dbo;ZBOZSKLSTAVKDATU;113610
dbo;ZBOZSKL;108715
dbo;HDOKPOZNADD;104720
dbo;XXHODREZART;103824
dbo;KHDPH;98865
dbo;HDOKUHRADA;98692
dbo;HDOKUHRDET;90546
dbo;XXLISTING;90417
dbo;XXSUBJADRUJED;86233
dbo;XXZBOZSKL_PMO;86199
dbo;XXRMTLOG;86034
dbo;XXCAMUNDA_INST;85937
dbo;XXPLNUKOLOZ;79171
dbo;XXPLNMCHD_M;76501
dbo;XXPLNMCHD_N;75283
dbo;WZBOZI_DF;72582
dbo;XXABCNAKUPARCHIV;70896
dbo;ZBOZIROZPAD;70626
dbo;XXMERKVALSDOK;69826
dbo;SUBJADR;68229
dbo;SUBJADRADD;67843
dbo;OBJPROCSTD_NEW;61274
dbo;XXPLANAKTIVOZ;60945
dbo;OBJPROC_OLD;60748
dbo;ZBOZIVMJ;59883
dbo;SUBJOSOBA;56137
dbo;XXPLNPOLDISTR_DP;55439
dbo;XXZADANIUKOLOZ;54962
dbo;XXTDMSUBJADR;51214
dbo;XXPLNPOLDISTR_DMP;48284
dbo;ZBOZIPOZN;46241
dbo;ZBOZIMNSPOTR;45527
dbo;ZBOZIMNSPOTRADD;44353
dbo;BAVRADEK;41915
dbo;XXUKAZMUHOD;39859
dbo;XXPODILDF_N;37315
dbo;XXMCHD_N;37315
dbo;DZSLOUPEC;31730
dbo;XXSUBJADRPPP;30870
dbo;ARCHSUMUCETZAP;28900
dbo;BRPARAMETER;28887
dbo;FormPARAMS;28823
dbo;ZNACZBOZI;28764
dbo;ZNACZBOZIADD;28764
